,5+1,5+1 Amount,5+0,4+1,4+0,3+1,3+0,2+1,1+1,0+1,5+0+M,4+1+M,4+0+M,3+1+M,3+0+M,2+1+M,1+1+M,0+1+M
59,0,"$40,000,000",0,9,263,749,"17,316","15,771","125,085","302,413",0,2,34,141,"2,915","2,713","21,269","51,233"
60,1,"$521,000,000",2,59,"1,793","4,774","113,890","97,673","746,802","1,800,134",0,7,226,598,"13,977","12,099","91,084","218,152"
61,0,"$458,000,000",2,42,798,"2,452","54,409","52,213","415,862","1,000,779",0,3,119,331,"7,030","7,203","57,357","137,288"
62,0,"$421,000,000",2,30,767,"1,956","50,293","40,827","307,443","738,506",0,6,121,254,"7,234","5,592","41,338","98,300"
63,0,"$377,000,000",0,32,611,"1,704","39,337","36,546","293,918","773,914",0,5,82,227,"5,120","4,829","39,941","109,049"
64,0,"$345,000,000",4,32,677,"2,025","43,136","40,156","303,972","715,847",1,6,101,292,"5,936","5,885","43,850","100,672"
65,0,"$318,000,000",4,24,470,"1,275","31,908","27,726","219,085","552,501",1,2,68,175,"4,287","3,858","29,856","76,075"
66,0,"$290,000,000",0,11,443,"1,186","31,539","24,989","188,870","448,489",0,1,57,168,"4,728","3,478","26,625","62,316"
67,0,"$265,000,000",2,22,497,"1,094","31,500","23,989","182,804","435,609",0,7,70,132,"4,545","3,304","25,290","60,616"
68,0,"$243,000,000",2,18,380,"1,017","24,561","23,344","192,324","483,251",0,3,62,146,"3,586","3,380","28,856","72,423"
69,0,"$222,000,000",0,18,440,"1,000","28,587","20,581","155,952","371,430",0,2,72,116,"4,307","2,963","22,061","52,077"
70,0,"$204,000,000",3,29,665,"1,684","34,880","28,325","185,832","404,563",1,7,136,303,"6,037","4,577","28,814","61,118"
71,0,"$185,000,000",0,26,459,"1,001","25,797","20,418","146,116","331,586",0,4,68,153,"4,082","3,182","22,184","49,740"
72,0,"$168,000,000",3,11,324,779,"19,924","16,206","127,205","318,197",0,2,51,96,"2,949","2,291","18,490","46,394"
73,0,"$153,000,000",3,13,326,904,"22,193","18,255","135,281","313,268",0,2,50,149,"3,432","2,824","20,746","47,016"
74,0,"$136,000,000",3,15,288,752,"18,004","16,621","131,171","329,056",0,3,45,134,"2,783","2,585","20,417","52,387"
75,0,"$120,000,000",2,9,310,728,"18,892","15,008","116,921","279,853",0,1,55,106,"3,082","2,254","18,093","42,603"
76,0,"$104,000,000",1,28,542,"1,432","25,922","22,384","148,902","326,542",0,5,104,291,"4,406","3,758","24,512","52,794"
77,0,"$89,000,000",1,12,220,553,"14,782","12,071","96,657","242,792",0,3,29,87,"2,363","1,834","14,845","38,112"
78,0,"$76,000,000",0,12,276,722,"19,078","15,806","118,131","275,252",0,2,47,128,"3,145","2,543","19,139","44,370"
79,0,"$63,000,000",1,16,262,"1,009","18,098","20,417","145,608","328,818",0,3,48,160,"2,907","3,514","24,871","55,314"
80,0,"$55,000,000",1,10,284,630,"17,848","13,614","99,978","236,200",0,4,38,95,"2,956","2,134","15,865","36,708"
81,0,"$50,000,000",0,8,395,657,"21,663","13,182","95,517","226,011",0,1,65,125,"3,648","2,141","15,080","35,540"
82,0,"$45,000,000",1,6,238,607,"15,969","12,372","97,799","236,859",0,1,43,102,"2,587","1,947","15,376","37,493"
83,0,"$40,000,000",0,14,220,662,"16,584","13,829","109,787","271,043",0,0,36,92,"2,551","2,137","16,544","40,920"
84,1,"$450,000,000",8,65,"1,583","4,632","103,260","97,563","780,569","1,947,406",2,9,198,542,"11,779","11,447","92,783","233,682"
85,0,"$361,000,000",2,37,"1,010","2,670","66,577","55,572","440,279","1,086,880",1,8,119,300,"7,889","6,378","50,624","124,274"
86,0,"$306,000,000",1,46,"1,087","3,475","68,098","66,748","472,236","1,080,533",0,5,156,484,"8,733","8,942","62,367","141,532"
87,0,"$277,000,000",1,23,563,"1,350","34,807","26,715","198,805","469,762",1,2,73,198,"4,813","3,449","25,729","59,893"
88,0,"$253,000,000",1,16,514,"1,236","34,354","26,039","202,097","486,850",0,3,77,146,"4,711","3,276","25,978","61,761"
89,0,"$223,000,000",0,12,359,"1,052","24,480","21,335","172,008","439,142",0,2,34,125,"3,194","2,874","22,950","59,253"
90,0,"$208,000,000",0,16,341,850,"23,943","18,782","145,868","351,079",0,4,46,128,"3,438","2,672","20,348","48,685"
91,0,"$191,000,000",1,35,577,"1,517","29,860","25,296","171,845","369,314",0,8,113,267,"4,865","3,915","25,926","54,251"
92,0,"$176,000,000",1,5,280,677,"18,199","14,670","117,430","290,885",1,1,45,87,"2,429","2,040","16,538","41,110"
93,0,"$160,000,000",0,16,274,685,"18,019","14,288","114,638","282,235",0,1,37,108,"2,549","2,026","16,271","39,986"
94,0,"$145,000,000",3,19,285,825,"18,117","17,862","144,114","363,347",1,2,48,110,"2,823","2,723","22,603","57,989"
95,0,"$132,000,000",0,9,290,751,"17,529","17,528","139,444","332,618",0,0,41,114,"2,693","2,769","22,190","52,342"
96,0,"$119,000,000",0,10,211,555,"14,177","11,574","92,028","233,496",0,1,35,81,"2,195","1,814","13,764","35,906"
97,0,"$106,000,000",3,21,430,"1,274","25,206","22,867","143,732","301,867",0,2,67,231,"4,156","3,901","22,778","46,511"
98,0,"$95,000,000",1,6,220,634,"14,988","14,934","121,854","304,030",1,1,23,118,"2,255","2,396","19,313","48,621"
99,0,"$82,000,000",2,9,488,606,"23,085","12,091","91,201","217,372",0,2,87,96,"3,781","1,721","13,572","32,271"
100,0,"$71,000,000",0,9,232,516,"14,742","11,317","88,425","215,787",0,1,27,74,"2,227","1,721","13,199","32,691"
101,0,"$59,000,000",0,8,203,562,"12,368","12,133","108,426","299,947",0,3,25,104,"1,891","2,023","17,911","49,997"
102,0,"$48,000,000",2,10,209,607,"13,886","14,172","117,715","293,290",1,0,33,81,"2,097","2,259","18,841","46,798"
103,0,"$40,000,000",0,9,215,643,"14,427","14,536","112,232","262,644",0,2,41,104,"2,087","2,260","17,347","39,876"
